Song Number,Song Name,Artist,Album,Duration,One-Hit-Wonder (Y/N),Type of Release,Release Date,Monthly Listeners,Plays
60,Rain,Cal Scruby,Rain,3:21,N,Single,11-Apr-17,585031,9087202
61,Crew (feat. Brent Faiyaz & Shy Glizzy),"GoldLink, Brent Faiyaz, Shy Glizzy",At What Cost,2:56,Y,Album,24-Mar-17,6690050,544078073
62,SHINE,Aminé,ONEPOINTFIVE,2:30,N,Album,15-Aug-18,7498778,74580799
63,Martin & Gina,Polo G,THE GOAT,2:12,N,Album,14-May-20,21162664,84131026
64,Colorado,Kota the Friend,Colorado,3:26,Y,Single,24-Oct-18,1573137,76160781
65,Crush,Souly Had,B.L.I.S.S.,2:39,Y,EP,16-Aug-16,685429,80062138
66,Hex,80purppp,Hex,2:02,Y,Single,12-Mar-18,3797888,421540707
67,All the Time,Souly Had,All the Time,2:57,N,Single,22-Feb-17,685429,15244354
68,TOGETHER,Aminé,ONEPOINTFIVE,3:35,N,Album,15-Aug-18,7498778,40975994
69,Pretty Life,"Terrel Morris, Free n Losh",Molasses,4:16,Y,Album,2-Mar-18,105398,11849604
70,Reckless,Healy,Subluxe,3:57,Y,Album,9-Jun-17,459037,87140285
71,Young Love (feat. Otieno Terry & Ariana De Boo),"Sol, Otieno Terry, Ariana De Boo",The Headspace Traveler,3:50,N,Album,4-Mar-16,115871,4003855
72,Napkins,RIZ LA VIE,Napkins,3:35,Y,Single,23-Feb-18,504416,41397134
73,Moon & Stars (feat. Maggie Lindemann),"$NOT, Maggie Lindemann",-TRAGEDY+,3:07,N,Album,6-Mar-20,5936695,186129317
74,Frank Ocean,Call Me Karizma,Frank Ocean,3:41,N,Single,14-Jul-17,1508793,15229834
75,Pretty Girl,Felly,Surf Trap,3:11,N,Album,28-Sep-18,752221,10278635
76,Days,AQVOL,Days,2:48,Y,Single,5-Jan-18,29805,5024445
77,Pretty Girls,iann dior,I'm Gone,2:13,N,Album,12-Jun-20,13641565,109219768
78,Foreplay,Jalen Santoy,II Shepherds,2:51,Y,Album,14-Feb-20,1458928,229942856
79,Boo Hoo,Safa Gaw,Boo Hoo,3:20,Y,Single,14-Feb-18,23373,4027554
80,Sunday,Matty Wood$,DopeBoy,2:40,Y,Album,12-Nov-17,127766,18634627
81,Speaking Of,Souly Had,Speaking Of,3:22,N,Single,16-May-18,685429,8180269
82,Saturn,RIZ LA VIE,Saturn,3:27,Y,Single,23-Feb-18,501416,18170989
83,Don't Think About It (Too Much),Druzu,Don't Think About It (Too Much),3:37,Y,Single,4-Dec-17,10646,4063519
84,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,WUNNA,3:17,N,Album,22-May-20,37230153,385662108
85,Nightstand,"YNG Martyr, YNG ONE",Nightstand,1:57,N,Single,6-Nov-20,788844,4302810
86,Right Hand,Drake,Right Hand,3:10,N,Single,31-Jul-15,80863064,190651130
87,We Fcuk,JAYLIEN,Summer's Over,2:35,Y,Album,15-Jul-16,21925,7169798
88,Paradise,Lil Uzi Vert,Luv Is Rage,2:52,N,Album,18-Dec-15,29265528,59190527
89,Ninety,Jaden,SYRE,7:48,N,Album,17-Nov-17,3755402,103228234
90,Trust Nobody,Hippie Sabotage,Trust Nobody,3:45,N,Single,23-Jul-19,7388963,77644928
91,Gorgeous,mansionz,Mansionz,2:28,N,Album,24-Mar-17,708334,129471059
92,A First Date,Bisqwik,Good Morning Say It Back,4:12,N,EP,6-May-18,647623,14749756
93,Moonlight in Atlanta,Russ,Moonlight in Atlanta,2:43,N,Single,15-Jan-16,14755590,50940436
94,Bella (feat. Emma Zander),"Bryce Vine, Emma Zander",Bella (feat. Emma Zander),3:19,N,Single,30-Nov-17,3617011,35672991
95,Violent Crimes,Kanye West,ye,3:35,N,Album,1-Jun-18,73090310,567666725
96,Waves,Kanye West,The Life Of Pablo,3:01,N,Album,10-Jun-16,73090310,448551446
97,bad vibes forever (feat. PnB Rock & Trippie Redd),"XXXTENTACION, PnB Rock, Trippie Redd",Bad Vibes Forever,2:30,N,Album,6-Dec-19,37558788,299460862
98,Miss Primetime,Big Gigantic,Brighter Future,3:35,N,Album,26-Aug-16,924211,25179232
99,Philly Jawn,Kota the Friend,Philly Jawn,3:26,N,Single,5-Aug-18,1573137,12584321
100,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION","Come Over When You're Sober, Pt. 2",3:16,Y,Album,9-Nov-18,15723299,1125632729
